Nematoda	Amphipoda	Copepoda	Gastroricha	Polychaete
11.37	0.14	0.84	0.98	0.28
15.26	0.28	1.18	1.46	0.56
7.48	0.00	0.51	0.50	0.00
21.20	0.28	0.14	0.14	0.28
31.76	0.46	0.28	0.28	0.46
10.65	0.10	0.00	0.00	0.10
6.05	0.00	0.14	0.14	0.00
8.60	0.00	0.28	0.28	0.00
3.49	0.00	0.00	0.00	0.00
1.55	0.00	0.00	0.00	0.00
1.91	0.00	0.00	0.00	0.00
1.19	0.00	0.00	0.00	0.00
1.42	0.00	0.00	0.00	0.00
1.71	0.00	0.00	0.00	0.00
1.13	0.00	0.00	0.00	0.00
4.67	0.25	0.25	0.74	0.25
6.44	0.49	0.49	1.47	0.49
2.90	0.00	0.00	0.00	0.00
7.13	0.25	0.00	0.98	0.00
9.64	0.49	0.00	1.97	0.00
4.61	0.00	0.00	0.00	0.00
2.95	0.00	0.49	0.25	0.00
4.01	0.00	0.98	0.49	0.00
1.89	0.00	0.00	0.00	0.00
2.22	0.00	0.25	0.49	0.00
2.95	0.00	0.49	0.78	0.00
1.49	0.00	0.00	0.21	0.00
1.72	0.00	0.25	0.00	0.00
2.46	0.00	0.49	0.00	0.00
0.99	0.00	0.00	0.00	0.00
