Human_Impact	Layer	sample_site	sample_replicate	Nematoda	Amphipoda	Copepoda	Gastroricha	Polychaete	total_abund	Shannon	Evenness	PRT	CHO	LIP	BPC
Untrawled	0_1	untrawled_0_1	1	4.67	0.25	0.25	0.74	0.25	6.14	0.854655621	0.252191351	1.536512253	0.72720357	0.672231162	2.935946985
Untrawled	0_1	untrawled_0_1	2	6.44	0.49	0.49	1.47	0.49	9.38	1.011245521	0.308106831	1.536512253	0.72720357	0.672231162	2.935946985
Untrawled	0_1	untrawled_0_1	3	2.9	0	0	0	0	2.9	0	NA	1.536512253	0.72720357	0.672231162	2.935946985
Untrawled	1_3	untrawled_1_3	1	7.13	0.25	0	0.98	0	8.35	0.491979138	0.234819361	1.597577713	0.93929377	0.656134091	3.193005574
Untrawled	1_3	untrawled_1_3	2	9.64	0.49	0	1.97	0	12.1	0.606456352	0.306870173	1.597577713	0.93929377	0.656134091	3.193005574
Untrawled	1_3	untrawled_1_3	3	4.61	0	0	0	0	4.61	0	NA	1.597577713	0.93929377	0.656134091	3.193005574
Trawled	0_1	trawled_0_1	1	11.37	0.14	0.84	0.98	0.28	13.62	0.638557817	0.181776731	1.457899192	0.474132457	0.620308478	2.552340127
Trawled	0_1	trawled_0_1	2	15.26	0.28	1.18	1.46	0.56	18.75	0.707939787	0.202408063	1.457899192	0.474132457	0.620308478	2.552340127
Trawled	0_1	trawled_0_1	3	7.48	0	0.51	0.5	0	8.5	0.447308085	0.197246849	1.457899192	0.474132457	0.620308478	2.552340127
Trawled	1_3	trawled_1_3	1	21.2	0.28	0.14	0.14	0.28	22.05	0.212575288	0.046208052	1.22721448	0.393126331	0.417034615	2.037375426
Trawled	1_3	trawled_1_3	2	31.76	0.46	0.28	0.28	0.46	33.24	0.242460129	0.053771541	1.22721448	0.393126331	0.417034615	2.037375426
Trawled	1_3	trawled_1_3	3	10.65	0.1	0	0	0.1	10.85	0.104653943	0.033093282	1.22721448	0.393126331	0.417034615	2.037375426
Untrawled	5_10	untrawled_5_10	1	2.22	0	0.25	0.49	0	2.96	0.72223287	0.366792665	2.361809389	0.478083797	0.414968027	3.254861214
Untrawled	5_10	untrawled_5_10	2	2.95	0	0.49	0.78	0	4.22	0.81235078	0.42205978	2.361809389	0.478083797	0.414968027	3.254861214
Untrawled	5_10	untrawled_5_10	3	1.49	0	0	0.21	0	1.7	0.373898609	0.312400885	2.361809389	0.478083797	0.414968027	3.254861214
Untrawled	3_5	untrawled_3_5	1	2.95	0	0.49	0.25	0	3.69	0.629417727	0.308246346	3.078921357	0.669474006	0.361672273	4.110067635
Untrawled	3_5	untrawled_3_5	2	4.01	0	0.98	0.49	0	5.48	0.752252404	0.386453996	3.078921357	0.669474006	0.361672273	4.110067635
Untrawled	3_5	untrawled_3_5	3	1.89	0	0	0	0	1.89	0	NA	3.078921357	0.669474006	0.361672273	4.110067635
Trawled	3_5	trawled_3_5	1	6.05	0	0.14	0.14	0	6.33	0.211834052	0.077855191	1.955310946	0.415245408	0.225987279	2.596543633
Trawled	3_5	trawled_3_5	2	8.6	0	0.28	0.28	0	9.16	0.272455986	0.106192551	1.955310946	0.415245408	0.225987279	2.596543633
Trawled	3_5	trawled_3_5	3	3.49	0	0	0	0	3.49	0	NA	1.955310946	0.415245408	0.225987279	2.596543633
Trawled	5_10	trawled_5_10	1	1.55	0	0	0	0	1.55	0	NA	2.113889899	0.40576352	0.195283484	2.714936903
Trawled	5_10	trawled_5_10	2	1.91	0	0	0	0	1.91	0	NA	2.113889899	0.40576352	0.195283484	2.714936903
Trawled	5_10	trawled_5_10	3	1.19	0	0	0	0	1.19	0	NA	2.113889899	0.40576352	0.195283484	2.714936903
