Human_Impact	Layer	sample_site	stat	Nematoda	Amphipoda	Copepoda	Gastroricha	Polychaete	total_abund	Shannon	Evenness
Trawled	0_1	trawled_0_1	0_1b	11.37	0.14	0.84	0.98	0.28	13.62	0.638557817	0.181776731
Trawled	0_1	trawled_0_1	0_1b	15.26	0.28	1.18	1.46	0.56	18.75	0.707939787	0.202408063
Trawled	0_1	trawled_0_1	0_1b	7.48	0	0.51	0.5	0	8.5	0.447308085	0.197246849
Trawled	1_3	trawled_1_3	1_3b	21.2	0.28	0.14	0.14	0.28	22.05	0.212575288	0.046208052
Trawled	1_3	trawled_1_3	1_3b	31.76	0.46	0.28	0.28	0.46	33.24	0.242460129	0.053771541
Trawled	1_3	trawled_1_3	1_3b	10.65	0.1	0	0	0.1	10.85	0.104653943	0.033093282
Trawled	3_5	trawled_3_5	3_5b	6.05	0	0.14	0.14	0	6.33	0.211834052	0.077855191
Trawled	3_5	trawled_3_5	3_5b	8.6	0	0.28	0.28	0	9.16	0.272455986	0.106192551
Trawled	3_5	trawled_3_5	3_5b	3.49	0	0	0	0	3.49	0	NA
Trawled	5_10	trawled_5_10	5_10b	1.55	0	0	0	0	1.55	0	NA
Trawled	5_10	trawled_5_10	5_10b	1.91	0	0	0	0	1.91	0	NA
Trawled	5_10	trawled_5_10	5_10b	1.19	0	0	0	0	1.19	0	NA
Trawled	10_15	trawled_10_15	6_15b	1.42	0	0	0	0	1.42	0	NA
Trawled	10_15	trawled_10_15	6_15b	1.71	0	0	0	0	1.71	0	NA
Trawled	10_15	trawled_10_15	6_15b	1.13	0	0	0	0	1.13	0	NA
Untrawled	0_1	untrawled_0_1	0_1a	4.67	0.25	0.25	0.74	0.25	6.14	0.854655621	0.252191351
Untrawled	0_1	untrawled_0_1	0_1a	6.44	0.49	0.49	1.47	0.49	9.38	1.011245521	0.308106831
Untrawled	0_1	untrawled_0_1	0_1a	2.9	0	0	0	0	2.9	0	NA
Untrawled	1_3	untrawled_1_3	1_3a	7.13	0.25	0	0.98	0	8.35	0.491979138	0.234819361
Untrawled	1_3	untrawled_1_3	1_3a	9.64	0.49	0	1.97	0	12.1	0.606456352	0.306870173
Untrawled	1_3	untrawled_1_3	1_3a	4.61	0	0	0	0	4.61	0	NA
Untrawled	3_5	untrawled_3_5	3_5a	2.95	0	0.49	0.25	0	3.69	0.629417727	0.308246346
Untrawled	3_5	untrawled_3_5	3_5a	4.01	0	0.98	0.49	0	5.48	0.752252404	0.386453996
Untrawled	3_5	untrawled_3_5	3_5a	1.89	0	0	0	0	1.89	0	NA
Untrawled	5_10	untrawled_5_10	5_10a	2.22	0	0.25	0.49	0	2.96	0.72223287	0.366792665
Untrawled	5_10	untrawled_5_10	5_10a	2.95	0	0.49	0.78	0	4.22	0.81235078	0.42205978
Untrawled	5_10	untrawled_5_10	5_10a	1.49	0	0	0.21	0	1.7	0.373898609	0.312400885
Untrawled	10_15	untrawled_10_15	6_15a	1.72	0	0.25	0	0	1.97	0.380457812	0.319698455
Untrawled	10_15	untrawled_10_15	6_15a	2.46	0	0.49	0	0	2.95	0.449650772	0.399660926
Untrawled	10_15	untrawled_10_15	6_15a	0.99	0	0	0	0	0.99	0	NA
