Phylum	Unique_OTUs	Site	Region	Trawling
Annelida	18	PUA	palermo_pristine_arenella	Pristine
Annelida	16	PUE	palermo_pristine_eleuterio	Pristine
Annelida	9	CT	castellammare_impacted	Impacted
Annelida	11	PT	palermo_impacted	Impacted
Annelida	8	CU	castellammare_pristine	Pristine
Arthropoda	26	PUA	palermo_pristine_arenella	Pristine
Arthropoda	30	PUE	palermo_pristine_eleuterio	Pristine
Arthropoda	26	CT	castellammare_impacted	Impacted
Arthropoda	33	PT	palermo_impacted	Impacted
Arthropoda	9	CU	castellammare_pristine	Pristine
Bryozoa	1	PUA	palermo_pristine_arenella	Pristine
Bryozoa	1	PUE	palermo_pristine_eleuterio	Pristine
Bryozoa	0	CT	castellammare_impacted	Impacted
Bryozoa	0	PT	palermo_impacted	Impacted
Bryozoa	1	CU	castellammare_pristine	Pristine
Chordata	14	PUA	palermo_pristine_arenella	Pristine
Chordata	17	PUE	palermo_pristine_eleuterio	Pristine
Chordata	14	CT	castellammare_impacted	Impacted
Chordata	14	PT	palermo_impacted	Impacted
Chordata	10	CU	castellammare_pristine	Pristine
Cnidaria	13	PUA	palermo_pristine_arenella	Pristine
Cnidaria	18	PUE	palermo_pristine_eleuterio	Pristine
Cnidaria	14	CT	castellammare_impacted	Impacted
Cnidaria	16	PT	palermo_impacted	Impacted
Cnidaria	10	CU	castellammare_pristine	Pristine
Ctenophora	2	PUA	palermo_pristine_arenella	Pristine
Ctenophora	1	PUE	palermo_pristine_eleuterio	Pristine
Ctenophora	1	CT	castellammare_impacted	Impacted
Ctenophora	0	PT	palermo_impacted	Impacted
Ctenophora	0	CU	castellammare_pristine	Pristine
Gastrotricha	11	PUA	palermo_pristine_arenella	Pristine
Gastrotricha	2	PUE	palermo_pristine_eleuterio	Pristine
Gastrotricha	6	CT	castellammare_impacted	Impacted
Gastrotricha	4	PT	palermo_impacted	Impacted
Gastrotricha	1	CU	castellammare_pristine	Pristine
Hemichordata	1	PUA	palermo_pristine_arenella	Pristine
Hemichordata	1	PUE	palermo_pristine_eleuterio	Pristine
Hemichordata	1	CT	castellammare_impacted	Impacted
Hemichordata	1	PT	palermo_impacted	Impacted
Hemichordata	1	CU	castellammare_pristine	Pristine
Kinorhyncha	1	PUA	palermo_pristine_arenella	Pristine
Kinorhyncha	2	PUE	palermo_pristine_eleuterio	Pristine
Kinorhyncha	2	CT	castellammare_impacted	Impacted
Kinorhyncha	2	PT	palermo_impacted	Impacted
Kinorhyncha	1	CU	castellammare_pristine	Pristine
Loricifera	0	PUA	palermo_pristine_arenella	Pristine
Loricifera	0	PUE	palermo_pristine_eleuterio	Pristine
Loricifera	1	CT	castellammare_impacted	Impacted
Loricifera	0	PT	palermo_impacted	Impacted
Loricifera	0	CU	castellammare_pristine	Pristine
Mollusca	16	PUA	palermo_pristine_arenella	Pristine
Mollusca	18	PUE	palermo_pristine_eleuterio	Pristine
Mollusca	6	CT	castellammare_impacted	Impacted
Mollusca	15	PT	palermo_impacted	Impacted
Mollusca	11	CU	castellammare_pristine	Pristine
Nematoda	181	PUA	palermo_pristine_arenella	Pristine
Nematoda	237	PUE	palermo_pristine_eleuterio	Pristine
Nematoda	134	CT	castellammare_impacted	Impacted
Nematoda	325	PT	palermo_impacted	Impacted
Nematoda	199	CU	castellammare_pristine	Pristine
Nemertea	5	PUA	palermo_pristine_arenella	Pristine
Nemertea	4	PUE	palermo_pristine_eleuterio	Pristine
Nemertea	2	CT	castellammare_impacted	Impacted
Nemertea	2	PT	palermo_impacted	Impacted
Nemertea	2	CU	castellammare_pristine	Pristine
Placozoa	1	PUA	palermo_pristine_arenella	Pristine
Placozoa	1	PUE	palermo_pristine_eleuterio	Pristine
Placozoa	1	CT	castellammare_impacted	Impacted
Placozoa	0	PT	palermo_impacted	Impacted
Placozoa	0	CU	castellammare_pristine	Pristine
Platyhelminthes	4	PUA	palermo_pristine_arenella	Pristine
Platyhelminthes	2	PUE	palermo_pristine_eleuterio	Pristine
Platyhelminthes	10	CT	castellammare_impacted	Impacted
Platyhelminthes	10	PT	palermo_impacted	Impacted
Platyhelminthes	7	CU	castellammare_pristine	Pristine
Porifera	3	PUA	palermo_pristine_arenella	Pristine
Porifera	3	PUE	palermo_pristine_eleuterio	Pristine
Porifera	3	CT	castellammare_impacted	Impacted
Porifera	2	PT	palermo_impacted	Impacted
Porifera	1	CU	castellammare_pristine	Pristine
Xenacoelomorpha	2	PUA	palermo_pristine_arenella	Pristine
Xenacoelomorpha	1	PUE	palermo_pristine_eleuterio	Pristine
Xenacoelomorpha	3	CT	castellammare_impacted	Impacted
Xenacoelomorpha	4	PT	palermo_impacted	Impacted
Xenacoelomorpha	3	CU	castellammare_pristine	Pristine
