Phylum	Unique_OTUs	Region
Annelida	3	PUA
Annelida	7	PUE
Annelida	0	CT
Annelida	1	CU
Annelida	1	PT
Arthropoda	169	PUA
Arthropoda	164	PUE
Arthropoda	155	CT
Arthropoda	106	CU
Arthropoda	174	PT
Chordata	1	PUA
Chordata	1	PUE
Chordata	1	CT
Chordata	1	CU
Chordata	1	PT
Cnidaria	100	PUA
Cnidaria	99	PUE
Cnidaria	101	CT
Cnidaria	67	CU
Cnidaria	115	PT
Gastrotricha	6	PUA
Gastrotricha	5	PUE
Gastrotricha	6	CT
Gastrotricha	1	CU
Gastrotricha	5	PT
Kinorhyncha	1	PUA
Kinorhyncha	5	PUE
Kinorhyncha	0	CT
Kinorhyncha	1	CU
Kinorhyncha	2	PT
Mollusca	21	PUA
Mollusca	22	PUE
Mollusca	16	CT
Mollusca	10	CU
Mollusca	20	PT
Nematoda	12	PUA
Nematoda	12	PUE
Nematoda	9	CT
Nematoda	2	CU
Nematoda	14	PT
Nemertea	1	PUA
Nemertea	1	PUE
Nemertea	0	CT
Nemertea	0	CU
Nemertea	0	PT
Placozoa	18	PUA
Placozoa	18	PUE
Placozoa	19	CT
Placozoa	13	CU
Placozoa	19	PT
Porifera	46	PUA
Porifera	41	PUE
Porifera	54	CT
Porifera	29	CU
Porifera	46	PT
Rotifera	7	PUA
Rotifera	5	PUE
Rotifera	8	CT
Rotifera	5	CU
Rotifera	7	PT
