OTU	L.CC14.1	L.CC14.2	L.CC14.3	L.CC15.1	L.CC15.2	L.CC15.3	L.CC11.1	L.CC11.2	L.CC11.3	L.CC18.1	L.CC18.2	L.CC18.3	L.CC7.1	L.CC7.2	L.CC7.3	L.CC13.1	L.CC13.2	L.CC13.3	L.CC6.1	L.CC6.2	L.CC6.3	L.CC16.1	L.CC16.2	L.CC16.3	L.CC5.1	L.CC5.2	L.CC5.3	L.CC9.1	L.CC9.2	L.CC9.3	L.CC8.1	L.CC8.2	L.CC8.3	L.CC17.1	L.CC17.2	L.CC17.3	L.CC19.1	L.CC19.2	L.CC19.3	L.CC3.1	L.CC3.2	L.CC3.3	L.CC10.1	L.CC10.2	L.CC10.3
Zotu10	0	0	0	0	0	0	0	0	0	0	0	0	15253	10910	11246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104	314	229	0	0	0	1454	1371	2671	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	704	598	626
Zotu1000	127	157	25	82	0	0	0	12	0	0	0	0	334	0	0	0	0	0	0	0	0	124	157	0	0	0	137	0	0	0	0	21	58	0	0	0	0	0	68	0	0	41	0	0	0
Zotu10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	7	0	0	0	0	0	0	0	0	0	0	0	0
Zotu10001	4	27	0	0	5	0	0	0	0	0	7	0	0	0	11	0	0	0	0	0	0	0	6	0	0	3	0	0	0	0	5	6	0	0	0	0	0	0	0	0	0	10	0	0	0
Zotu10006	0	0	0	55	0	0	0	0	0	3	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu10007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
Zotu10008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	156	14	6	0	0	0	0	0
Zotu10009	20	0	0	0	111	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1001	15	0	0	24	0	0	73	0	0	0	0	0	10	28	0	0	0	0	0	102	96	35	18	0	78	68	361	0	0	0	73	22	41	0	0	0	24	9	28	34	27	18	0	0	0
Zotu10010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	23	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu10011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	35	46	0
Zotu10012	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	10	0	0	0	0	0	0	32	0	0	0	0	0	0
Zotu10013	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	22	0	0	0	0	0	0
