OTU	CC10	CC11	CC13	CC14	CC15	CC16	CC17	CC18	CC19	CC3	CC5	CC6	CC7	CC8	CC9
Zotu10	0	0	0	0	0	0	0	0	0	0	0	0	12469.66667	0	0
Zotu100	642.6666667	0	0	0	0	0	0	0	0	0	1832	215.6666667	0	0	0
Zotu1000	0	4	0	103	27.33333333	93.66666667	0	0	22.66666667	13.66666667	45.66666667	0	111.3333333	26.33333333	0
Zotu10000	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0
Zotu10001	0	0	0	10.33333333	1.666666667	2	0	2.333333333	0	3.333333333	1	0	3.666666667	3.666666667	0
Zotu10006	0	0	11	0	18.33333333	0	0	1	0	0	0	0	0	0	0
Zotu10007	0	0	0	0	0	0	0	0	1	0	0	37.66666667	0	0	0
Zotu10008	0	0	0	0	0	0	0	0	56.66666667	2	0	0	0	6	0
Zotu10009	0	0	0	6.666666667	37	0	0	0	0	0	0	0	3.333333333	0	0
Zotu1001	0	24.33333333	0	5	8	17.66666667	0	0	20.33333333	26.33333333	169	66	12.66666667	45.33333333	0
Zotu10010	0	0	0	0	0	18.33333333	0	0	0	0	0	0	0	0	13.66666667
Zotu10011	27	0	0	0	0	0	0	0	3.333333333	0	0	0	0	0	0
Zotu10012	0	0	0	0	0	0	0	5.666666667	10.66666667	0	12	0	0	3.333333333	0
Zotu10013	0	0	2.333333333	0	0	0	0	7	24.33333333	0	0	0	0	0	0
Zotu10015	0	0	0	0	7	0	0	0	23.33333333	0	0	0	5	0	0
Zotu10016	0	0	0	0	0	0	0	0	0	0	2.333333333	3.333333333	6.333333333	24	0
Zotu10017	0	0	0	0	0	0	0	0	0	31.66666667	0	0	0	0	0
Zotu10018	0	0	0	0	4.333333333	0	4	3.666666667	0	8	6	1.333333333	0	2.333333333	0
Zotu1002	0	0	72.33333333	1.333333333	81.33333333	20.66666667	35.33333333	114.3333333	8.666666667	42.66666667	8.666666667	3.333333333	0	7	0
Zotu10020	0	0	0	31.33333333	0	0	0	0	0	1.333333333	0	0	0	0	0
Zotu10021	0	0	0	0	0	0	0	38.66666667	0	0	0	0	0	0	0
Zotu10022	0	0	0	0	0	0	0	0	0	0	28.66666667	0	0	0	0
Zotu10023	0	0	0	0	0	0	0	14.33333333	0	3	0	0	6.666666667	8.333333333	0
Zotu10024	0	0	0	0	2.333333333	22	4.333333333	0	0	0	0	0	0	0	0
Zotu10025	0	0	0	0	0	0	0	0	0	15	13.33333333	0	0	0	0
Zotu10026	0	0	0	0	7.333333333	0	20	0	0	0	0	0	0	0	0
Zotu10027	0	0	17.66666667	0	0	1.666666667	0	0	0	5.666666667	2	0	0	2.333333333	0
Zotu10028	0	0	0	0	0	31.33333333	24.66666667	0	0	0	0	0	0	0	0
Zotu10029	0	0	1	0	15.33333333	0	12.66666667	0	0	2.666666667	0	0	0	0	0
Zotu1003	0	0	0	0	0	0	0	0	0	439.6666667	0	0	0	0	0
Zotu10030	0	12.33333333	0	9.666666667	0	0	0	0	0	0	18.33333333	0	0	10.33333333	0
Zotu10031	0	0	0	0	24	0	0	3.333333333	0	0	0	0	0	6	0
Zotu10032	0	27.66666667	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu10033	26	0	4	0	0	0	0	0	0	0	0	0	0	0	0
Zotu10034	0	0	0	0	0	0	0	0	0	0	25.66666667	0	0	0	0
Zotu10035	0	0	0	0	0	0	0	0	7.333333333	0	0	9.333333333	0	9.333333333	0
Zotu10036	0	0	0	0	18.66666667	0	0	0	0	10.33333333	1	0	0	0	0
Zotu10037	0	0	20.33333333	0	4	0	0	22.33333333	0	0	0	0	0	0	0
