phylum	CC10	CC11	CC13	CC14	CC15	CC16	CC17	CC18	CC19	CC3	CC5	CC6	CC7	CC8	CC9
Annelida	0	0	0	0	0	0	0	0	0	0	0	0	12469.66667	0	0
Annelida	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0
Annelida	1912	0	0	122.6666667	0	0	0	0	0	14.33333333	0	0	0	0	0
Annelida	0	0	0	0	0	0	0	0	0	243.3333333	0	0	0	0	0
Annelida	0	0	0	0	0	0	126	0	0	0	0	0	13	0	0
Annelida	0	0	0	0	0	0	0	0	0	0	0	0	127.3333333	0	0
Annelida	0	0	0	0	0	0	0	0	0	0	0	0	105	0	0
Annelida	0	0	0	33	0	0	0	0	5.333333333	27.33333333	0	0	0	0	0
Annelida	0	0	0	0	0	0	0	0	0	0	1409	0	0	0	0
Arthropoda	27	0	0	0	0	0	0	0	3.333333333	0	0	0	0	0	0
Arthropoda	0	0	0	0	0	0	0	5.666666667	10.66666667	0	12	0	0	3.333333333	0
Arthropoda	0	0	72.33333333	1.333333333	81.33333333	20.66666667	35.33333333	114.3333333	8.666666667	42.66666667	8.666666667	3.333333333	0	7	0
Arthropoda	0	0	41.66666667	0	0	0	0	0	0	0	0	0	0	0	0
Arthropoda	0	0	0	0	0	0	0	0	0	13.33333333	0	0	10.33333333	6	0
Arthropoda	0	1	22.66666667	0	1.666666667	0	0	0	0	0	0	0	0	0	0
Arthropoda	5	0	0	0	0	0	0	13.66666667	0	7.666666667	0	0	0	0	0
Arthropoda	0	0	0	0	0	0	0	0	0	0	0	23	0	1.333333333	0
Arthropoda	0	1	0	1	0	0	0	9.666666667	0	11	3.666666667	0	0	5	0
Arthropoda	0	0	0	0	0	0	0	1.666666667	24	0	0	0	0	0	0
Arthropoda	0	0	0	0	0	0	0	0	5	24	9	0	0	0	0
Arthropoda	0	0	0	0	0	0	0	0	15.66666667	10.33333333	0	0	0	0	0
Arthropoda	0	18	0	0	0	0	0	0	0	0	0	0	8.666666667	0	0
Arthropoda	30	0	0	0	1.333333333	0	0	0	0	0	0	0	0	0	0
Arthropoda	23.66666667	0	0	0	0	0	0	0	0	0	1	0	5.333333333	0	0
Arthropoda	0	0	0	6.333333333	0	0	0	0	0	1	0	7	12	0	0
Arthropoda	0	5	0	1	0	0	0	10.66666667	0	3.333333333	0	0	2.666666667	0	0
Arthropoda	0	0	0	0	0	0	0	5.333333333	0	12.33333333	0	10.33333333	0	0	0
Arthropoda	0	3.333333333	0	4.333333333	0	5.666666667	0	0	10	0	0	0	2	0	0
Arthropoda	0	9.333333333	17.66666667	0	0	0	0	0	0	0	0	0	0	0	0
Arthropoda	0	0	0	1.666666667	3	0	0	1.666666667	0	0	8	7	1.666666667	2.666666667	0
Arthropoda	0	0	0	6.666666667	0	0	0	0	0	0	2	0	0	13.33333333	0
Arthropoda	0	0	0	0	0	17.66666667	0	0	0	0	5.666666667	0	0	0	0
Arthropoda	0	2	11.66666667	0	14	0	0	6.333333333	0	0	0	0	0	0	0
Arthropoda	0	0	0	0	3	6.666666667	7	4	1	1.666666667	0	0	0	0	0
Arthropoda	0	40.66666667	5	41.66666667	12	5.333333333	0	42.66666667	20	22.66666667	5	87.33333333	59	14.33333333	0
Arthropoda	0	0	0	10	0	0	0	0	14.33333333	0	0	0	0	0	0
Arthropoda	0	0	0	0	0	1	0	0	2	9.666666667	2	6	0	0	0
Arthropoda	0	0	0	0	9.333333333	0	0	0	9	6	0	0	0	0	0
Arthropoda	33	17.66666667	0	16.33333333	0	34	28.33333333	7	54.66666667	26.66666667	7	34.33333333	72	19.33333333	38.33333333
Arthropoda	0	0	0	0	0	2.666666667	0	0	0	16.66666667	0	0	1.666666667	0	0
Arthropoda	74	9.666666667	12.66666667	18.66666667	4.333333333	2	0	7.666666667	54	23.33333333	37.33333333	51.33333333	27.66666667	25	0
Arthropoda	4	1.666666667	0	18	0	0	0	0	3.333333333	0	0	0	0	1	0
Arthropoda	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0
Arthropoda	0	21.33333333	0	0	0	0	0	0	0	0	0	0	0	0	0
Arthropoda	0	9.333333333	0	0	0	0	0	0	0	13.66666667	1.666666667	0	0	0	0
Arthropoda	0	1	0	1.666666667	0	0	5	0	1.666666667	0	7	0	1	0	0
Arthropoda	0	53.66666667	1.333333333	46	0	51	11.33333333	0	5.333333333	2	76.33333333	1	52	17	0
Arthropoda	0	0	0	0	0	0	4	0	13.33333333	0	1	0	0	0	0
Arthropoda	18.66666667	1.333333333	0	0	0	0	0	0	0	0	0	0	0	0	0
Arthropoda	0	0	0	0	0	0	0	0	5.666666667	0	13.33333333	0	0	0	0
Arthropoda	0	1	41.33333333	0	110.3333333	0	5.333333333	146.6666667	0	13	0	0	0	1.333333333	0
Arthropoda	0	0	0	0	14	1	3.333333333	0	0	0	0	0	0	0	0
Arthropoda	0	0	17.66666667	0	0	0	0	0	0	0	1	0	0	0	0
Arthropoda	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0
Arthropoda	0	17.66666667	0	0	0	0	0	0	10	0	0	0	0	0	0
Arthropoda	0	0	0	0	0	6.333333333	11.66666667	0	0	0	0	0	0	0	0
Arthropoda	0	0	6.333333333	3	2.666666667	1.666666667	5.333333333	11.66666667	0	6	0	0	0	0	0
Arthropoda	0	0	0	2	11	0	0	7	0	0	1	0	0	0	0
Arthropoda	0	16.33333333	40	12	54.66666667	0	0	52.66666667	20.33333333	4.333333333	30.33333333	0	14	52.33333333	0
Arthropoda	0	0	0	0	0	0	0	0	6	11.66666667	0	0	0	0	0
Arthropoda	0	0	0	0	0	2.666666667	0	0	10.66666667	0	0	0	4.666666667	0	0
Arthropoda	0	0	0	0	0	9.666666667	0	0	0	6.666666667	0	0	0	0	0
Arthropoda	4.333333333	1.666666667	5.333333333	9.666666667	0	0	0	0	5	0	132.3333333	6	0	125	0
Arthropoda	0	0	3	0	0	7.333333333	0	0	0	0	0	1	2.333333333	2.666666667	0
Arthropoda	0	0	0	0	0	0	0	0	0	6	10.33333333	0	0	0	0
Arthropoda	0	59.33333333	13	58.66666667	5.333333333	0	0	35.33333333	35.33333333	17.66666667	60.66666667	0	2.333333333	12	0
Arthropoda	3.333333333	0	0	4.333333333	2	0	0	8	0	0	0	0	0	0	0
Arthropoda	0	8	0	4.333333333	0	3.666666667	0	0	0	0	0	0	0	0	0
Arthropoda	0	0	0	0	0	0	16.33333333	0	0	0	1.666666667	0	2.333333333	0	0
Arthropoda	0	0	20.33333333	31	47.33333333	34.33333333	0	37.33333333	13	44.66666667	26.66666667	20.66666667	2.666666667	9.666666667	0
Arthropoda	0	0	0	0	0	0	0	0	0	0	0	16.33333333	0	1	0
Arthropoda	0	0	0	0	0	21.33333333	0	0	0	0	0	0	0	0	0
Arthropoda	0	0	0	0	0	0	0	0	0	17.66666667	0	0	0	0	0
Arthropoda	35.33333333	132.3333333	285.6666667	187.6666667	193	138	53.66666667	365	280	201	248	17	78	312.3333333	0
Arthropoda	0	0	0	0	0	0	0	0	8	5.333333333	0	0	0	0	0
Arthropoda	0	0	0	0	0	0	0	0	0	0	0	13	0	1.666666667	0
Arthropoda	0	10.66666667	0	0	0	0	0	0	0	0	6.333333333	0	0	0	0
Arthropoda	0	0	0	0	0	1	0	0	0	0	0	0	0	11.66666667	0
Arthropoda	56	0	14.66666667	2.666666667	14.66666667	32.66666667	7.666666667	0	27.66666667	44.33333333	14.33333333	40.66666667	61.33333333	5.666666667	13.33333333
Arthropoda	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0
Arthropoda	0	0	0	0	0	0	0	0	1.333333333	0	0	0	13.66666667	0	0
Arthropoda	0	0	0	4	0	2	0	13.66666667	0	0	0	0	0	0	0
Arthropoda	0	11.33333333	0	0	0	0	0	0	2.333333333	0	0	0	2	0	0
Arthropoda	0	0	0	0	465.6666667	0	0	0	0	0	0	0	0	0	0
Arthropoda	0	0	3	0	0	1.333333333	0	0	1.333333333	8.666666667	0	0	0	0	0
Arthropoda	0	0	41.33333333	0	93.66666667	0	8.666666667	38.33333333	29.66666667	43.66666667	7	0	1.333333333	0	0
Arthropoda	0	0	0	0	0	0	0	0	0	0	0	0	0	22.66666667	0
Arthropoda	0	0	0	7.666666667	0	0	0	0	0	0	4.333333333	0	0	0	0
Arthropoda	0	0	0	0	0	0	0	8.333333333	0	5	0	0	0	0	0
Arthropoda	0	0	47	0	110	0	16.33333333	35	7.333333333	10.66666667	3.666666667	0	0	37	0
Arthropoda	0	0	22.33333333	0	0	104.6666667	13.33333333	3.666666667	0	1.333333333	4	9	1	20.33333333	83.33333333
Arthropoda	0	0	2.333333333	0	0	0	0	2	0	0	0	4.666666667	0	8.333333333	0
Arthropoda	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0
Arthropoda	0	0	103	18.66666667	18.33333333	0	0	72.33333333	1.666666667	0	28	0	0	3	0
Arthropoda	0	0	0	4	0	0	0	0	14	3	0	3	0	0	0
Arthropoda	0	0	0	0	0	0	0	0	11.33333333	0	0	0	0	0	0
Arthropoda	0	0	0	0	4.333333333	0	0	0	0	5.333333333	0	10	0	0	0
Arthropoda	0	0	0	0	0	0	0	0	0	5	0	0	0	4.333333333	0
Arthropoda	0	0	1	0	0	0	0	0	4	8	0	0	0	0	0
Arthropoda	0	15	0	33.66666667	0	163	0	0	22.66666667	24	0	5	13.66666667	1.333333333	0
Arthropoda	70.33333333	53.33333333	0	5	0	0	0	0	43	17	0	12.33333333	43.33333333	7	0
Arthropoda	8	10.33333333	13.33333333	36.66666667	31.33333333	8	20.66666667	21.33333333	0	23	23.66666667	0	6.333333333	17.33333333	0
Arthropoda	0	0	0	0	0	0	0	0	9.666666667	0	0	0	0	2.666666667	0
Arthropoda	0	0	0	0	0	0	3.666666667	0	0	0	0	0	0	6.333333333	0
Arthropoda	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0
