phylum	PUA	PUA	PUA	PUA	PUE	PUE	PUE	PUE	CT	CT	CT	CT	CU	CU	CU	CU	PT	PT	PT	PT
Annelida	0	0	0	0	0	0	12469.66667	12469.66667	0	0	0	0	0	0	0	0	0	0	0	0
Annelida	0	0	0	0	0	27	0	27	0	0	0	0	0	0	0	0	0	0	0	0
Annelida	1912	0	14.33333333	1926.333333	0	122.6666667	0	122.6666667	0	0	0	0	0	0	0	0	0	0	0	0
Annelida	0	0	243.3333333	243.3333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Annelida	0	0	0	0	0	0	13	13	0	0	0	0	0	126	0	126	0	0	0	0
Annelida	0	0	0	0	0	0	127.3333333	127.3333333	0	0	0	0	0	0	0	0	0	0	0	0
Annelida	0	0	0	0	0	0	105	105	0	0	0	0	0	0	0	0	0	0	0	0
Annelida	0	5.333333333	27.33333333	32.66666666	0	33	0	33	0	0	0	0	0	0	0	0	0	0	0	0
Annelida	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1409	0	0	1409
Arthropoda	27	3.333333333	0	30.33333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arthropoda	0	10.66666667	0	10.66666667	0	0	0	0	0	0	5.666666667	5.666666667	0	0	0	0	12	0	3.333333333	15.33333333
Arthropoda	0	8.666666667	42.66666667	51.33333334	0	1.333333333	0	1.333333333	72.33333333	81.33333333	114.3333333	268	20.66666667	35.33333333	0	56	8.666666667	3.333333333	7	19
Arthropoda	0	0	0	0	0	0	0	0	41.66666667	0	0	41.66666667	0	0	0	0	0	0	0	0
Arthropoda	0	0	13.33333333	13.33333333	0	0	10.33333333	10.33333333	0	0	0	0	0	0	0	0	0	0	6	6
Arthropoda	0	0	0	0	1	0	0	1	22.66666667	1.666666667	0	24.33333334	0	0	0	0	0	0	0	0
Arthropoda	5	0	7.666666667	12.66666667	0	0	0	0	0	0	13.66666667	13.66666667	0	0	0	0	0	0	0	0
Arthropoda	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	1.333333333	24.33333333
Arthropoda	0	0	11	11	1	1	0	2	0	0	9.666666667	9.666666667	0	0	0	0	3.666666667	0	5	8.666666667
Arthropoda	0	24	0	24	0	0	0	0	0	0	1.666666667	1.666666667	0	0	0	0	0	0	0	0
Arthropoda	0	5	24	29	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	9
Arthropoda	0	15.66666667	10.33333333	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arthropoda	0	0	0	0	18	0	8.666666667	26.66666667	0	0	0	0	0	0	0	0	0	0	0	0
Arthropoda	30	0	0	30	0	0	0	0	0	1.333333333	0	1.333333333	0	0	0	0	0	0	0	0
Arthropoda	23.66666667	0	0	23.66666667	0	0	5.333333333	5.333333333	0	0	0	0	0	0	0	0	1	0	0	1
Arthropoda	0	0	1	1	0	6.333333333	12	18.33333333	0	0	0	0	0	0	0	0	0	7	0	7
Arthropoda	0	0	3.333333333	3.333333333	5	1	2.666666667	8.666666667	0	0	10.66666667	10.66666667	0	0	0	0	0	0	0	0
Arthropoda	0	0	12.33333333	12.33333333	0	0	0	0	0	0	5.333333333	5.333333333	0	0	0	0	0	10.33333333	0	10.33333333
Arthropoda	0	10	0	10	3.333333333	4.333333333	2	9.666666666	0	0	0	0	5.666666667	0	0	5.666666667	0	0	0	0
Arthropoda	0	0	0	0	9.333333333	0	0	9.333333333	17.66666667	0	0	17.66666667	0	0	0	0	0	0	0	0
Arthropoda	0	0	0	0	0	1.666666667	1.666666667	3.333333334	0	3	1.666666667	4.666666667	0	0	0	0	8	7	2.666666667	17.66666667
Arthropoda	0	0	0	0	0	6.666666667	0	6.666666667	0	0	0	0	0	0	0	0	2	0	13.33333333	15.33333333
Arthropoda	0	0	0	0	0	0	0	0	0	0	0	0	17.66666667	0	0	17.66666667	5.666666667	0	0	5.666666667
Arthropoda	0	0	0	0	2	0	0	2	11.66666667	14	6.333333333	32	0	0	0	0	0	0	0	0
Arthropoda	0	1	1.666666667	2.666666667	0	0	0	0	0	3	4	7	6.666666667	7	0	13.66666667	0	0	0	0
Arthropoda	0	20	22.66666667	42.66666667	40.66666667	41.66666667	59	141.3333333	5	12	42.66666667	59.66666667	5.333333333	0	0	5.333333333	5	87.33333333	14.33333333	106.6666667
Arthropoda	0	14.33333333	0	14.33333333	0	10	0	10	0	0	0	0	0	0	0	0	0	0	0	0
Arthropoda	0	2	9.666666667	11.66666667	0	0	0	0	0	0	0	0	1	0	0	1	2	6	0	8
Arthropoda	0	9	6	15	0	0	0	0	0	9.333333333	0	9.333333333	0	0	0	0	0	0	0	0
Arthropoda	33	54.66666667	26.66666667	114.3333333	17.66666667	16.33333333	72	106	0	0	7	7	34	28.33333333	38.33333333	100.6666667	7	34.33333333	19.33333333	60.66666666
Arthropoda	0	0	16.66666667	16.66666667	0	0	1.666666667	1.666666667	0	0	0	0	2.666666667	0	0	2.666666667	0	0	0	0
Arthropoda	74	54	23.33333333	151.3333333	9.666666667	18.66666667	27.66666667	56.00000001	12.66666667	4.333333333	7.666666667	24.66666667	2	0	0	2	37.33333333	51.33333333	25	113.6666667
Arthropoda	4	3.333333333	0	7.333333333	1.666666667	18	0	19.66666667	0	0	0	0	0	0	0	0	0	0	1	1
Arthropoda	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	21	0	0	0	0
