OTU	Z.CC14.1	Z.CC14.2	Z.CC14.3	Z.CC15.1	Z.CC15.2	Z.CC15.3	Z.CC11.1	Z.CC11.2	Z.CC11.3	Z.CC18.1	Z.CC18.2	Z.CC18.3	Z.CC7.1	Z.CC7.2	Z.CC7.3	Z.CC13.1	Z.CC13.2	Z.CC13.3	Z.CC6.1	Z.CC6.2	Z.CC6.3	Z.CC16.1	Z.CC16.2	Z.CC16.3	Z.CC5.1	Z.CC5.2	Z.CC5.3	Z.CC9.1	Z.CC9.2	Z.CC9.3	Z.CC8.1	Z.CC8.2	Z.CC8.3	Z.CC17.1	Z.CC17.2	Z.CC17.3	Z.CC19.1	Z.CC19.2	Z.CC19.3	Z.CC3.1	Z.CC3.2	Z.CC3.3	Z.CC10.1	Z.CC10.2	Z.CC10.3
Zotu1	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	211680	208349	288571	5374	5014	4240	0	0	0	0	0	0
Zotu10	5813	5133	663	8983	5511	6658	4516	4705	5076	9072	7979	14265	1117	885	1084	6282	5429	4944	1664	1771	1397	3849	2171	2702	1775	2927	3345	1833	1193	2427	4570	4964	4618	763	865	1355	4374	4073	3293	3333	4542	6310	926	943	838
Zotu100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5583	2975	5114	4	29	40	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1000	6	60	6	47	5	11	0	0	0	32	91	352	0	0	0	0	0	0	15	4	5	0	0	0	25	41	47	0	0	0	7	0	0	0	0	0	41	9	20	0	0	0	0	0	0
Zotu10003	0	0	0	0	0	0	0	0	0	0	0	0	5	0	9	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0
Zotu10007	0	9	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
Zotu10011	0	0	0	0	0	0	0	0	0	25	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu10012	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu10016	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1002	0	9	5	0	7	0	0	0	0	27	0	54	17	0	10	57	22	57	55	127	30	0	0	0	4	10	8	246	0	0	0	12	0	0	0	0	7	14	6	33	53	44	51	115	35
