OTU	CC10	CC11	CC13	CC14	CC15	CC16	CC17	CC18	CC19	CC3	CC5	CC6	CC7	CC8	CC9
Zotu1	0	0	0	0	0	0	236200	0	4876	0	0	0	4	0	0
Zotu10	902.3333333	4765.666667	5551.666667	3869.666667	7050.666667	2907.333333	994.3333333	10438.66667	3913.333333	4728.333333	2682.333333	1610.666667	1028.666667	4717.333333	1817.666667
Zotu100	0	0	0	0	0	0	0	0	0	0	0	0	0	24.33333333	4557.333333
Zotu1000	0	0	0	24	21	0	0	158.3333333	23.33333333	0	37.66666667	8	0	2.333333333	0
Zotu10003	0	0	0	0	0	0	0	0	4	0	0	6.333333333	4.666666667	0	0
Zotu10007	2.333333333	5.333333333	0	3	0	1.333333333	0	0	0	0	0	0	0	0	0
Zotu10011	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0
Zotu10012	0	0	5	0	0	0	0	0	0	0	0	0	3.333333333	0	0
Zotu10016	0	0	0	0	0	0	0	4	0	0	0	0	0	6.333333333	0
Zotu1002	67	0	45.33333333	4.666666667	2.333333333	0	0	27	9	43.33333333	7.333333333	70.66666667	9	4	82
Zotu10022	0	0	0	0	0	8.666666667	0	0	0	0	0	0	0	2	0
Zotu10028	0	0	0	0	0	6.333333333	0	0	0	3	0	0	0	0	0
Zotu1003	41.33333333	65	36.33333333	24.33333333	46.66666667	66.33333333	3	39	26.66666667	31	29.66666667	15.66666667	6	27	0
Zotu10033	0	5.333333333	0	0	1	0	0	5.666666667	0	0	0	5	0	0	0
Zotu10034	0	0	0	0	1.666666667	0	0	0	0	0	1	0	0	2.666666667	0
Zotu1004	0	0	9.333333333	4.333333333	97.33333333	0	0	73.33333333	0	0	1	35	55	26.33333333	0
Zotu10040	0	0	7	0	0	0	0	3.333333333	0	0	0	0	0	0	0
Zotu10041	0	0	0	0	0	3.666666667	0	0	0	0	0	0	1	0	0
Zotu10043	5.666666667	0	0	0	0	0	0	0	0	1	0	0	3	0	0
Zotu10044	0	2.666666667	0	0	0	3.333333333	0	3	6.666666667	0	0	0	1	0	0
Zotu10045	0	0	0	0	0	0	0	0	0	0	0	0	6.333333333	1	0
Zotu10046	0	0	1.333333333	0	0	7	0	0	0	0	0	0	0	0	0
Zotu10048	0	0	0	0	0	0	0	0	4	4.666666667	0	0	0	0	0
Zotu1005	0	110.6666667	0	106.3333333	0	0	0	0	0	21	0	0	46.33333333	0	0
Zotu10051	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0
Zotu10056	2.333333333	0	0	0	0	1	0	0	0	2	0	0	0	0	0
Zotu10058	0	0	0	0	1.666666667	0	0	8.333333333	0	0	1.666666667	0	0	3.333333333	0
Zotu1006	0	0	0	0	0	0	0	0	0	0	0	0	330.3333333	0	0
Zotu10061	0	0	0	0	0	4.666666667	0	0	1.666666667	0	0	1	0	0	6
Zotu10067	0	0	0	0	5	0	0	0	0	0	0	3.333333333	0	2	0
Zotu10069	5.333333333	4	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1007	17.66666667	6	1.666666667	10.66666667	10	19.33333333	2	18.33333333	29	55.33333333	19	52	19	35.33333333	0
Zotu10073	0	0	0	0	0	0	0	0	10.66666667	0	0	0	0	0	0
Zotu10077	0	0	0	0	0	0	0	0	1.333333333	0	0	0	6	0	0
Zotu1008	5.666666667	30.66666667	4.333333333	5.333333333	14.33333333	31.33333333	30.33333333	42	26.66666667	19	13	3.666666667	10	26	69.33333333
Zotu10080	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0
Zotu10088	0	0	0	0	0	0	0	0	0	5	0	0	0	7.333333333	0
Zotu101	67	257.6666667	221	353.6666667	462	256	141.6666667	881.6666667	215.3333333	575	305	156	183.6666667	821.6666667	0
Zotu1010	0	0	0	0	0	0	0	0	0	0	113	0	171	0	0
Zotu10101	0	6.333333333	0	8	0	0	0	0	0	0	2.333333333	0	0	0	0
Zotu10103	0	0	13	0	0	4	0	0	0	0	0	0	0	0	0
Zotu10109	0	0	0	2.666666667	2.666666667	0	0	0	0	0	0	0	0	0	0
Zotu1011	0	0	0	0	0	0	0	0	0	0	0	0	346	0	0
Zotu10114	0	0	0	2.333333333	0	0	0	0	0	0	0	0	6	0	0
Zotu10115	0	0	0	0	0	1	0	0	0	8.333333333	0	0	0	0	0
Zotu10117	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
Zotu1012	270	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu10121	0	11.33333333	0	0	0	1.333333333	0	0	0	0	0	0	0	0	0
Zotu10123	0	0	0	0	3.333333333	0	0	4	0	0	0	0	0	0	0
Zotu10125	4.333333333	8	0	1	0	0	0	0	0	0	0	7.666666667	0	0	0
Zotu10129	0	0	0	0	0	0	0	0	0	0	3.333333333	0	5	1	0
Zotu1013	0	0	0	0	0	220	0	87.66666667	0	0	0	0	0	0	0
Zotu10132	0	0	0	0	0	0	0	13.66666667	0	0	0	0	0	0	0
Zotu10136	0	1.666666667	0	0	0	0	1	4	0	0	0	0	0	0	0
Zotu10141	0	0	7.333333333	0	0	0	0	0	0	0	2	0	0	0	0
Zotu10142	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0
Zotu10146	0	0	3.333333333	0	3.333333333	0	0	0	0	3	0	0	0	0	0
Zotu1015	0	0	0	0	28	176	1.333333333	108.3333333	12.33333333	0	0	0	0	0	0
Zotu10150	0	0	0	2	0	0	0	1.666666667	1	0	0	0	0	0	0
Zotu10153	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0
Zotu10155	0	0	1	8.333333333	0	0	0	0	0	0	1.666666667	0	0	0	0
Zotu10156	0	5.333333333	0	0	3.666666667	0	0	0	0	0	0	0	2	0	0
Zotu10158	0	0	0	0	0	5	0	1	0	0	0	0	0	1.333333333	0
Zotu10161	0	6.333333333	0	0	0	0	0	3.666666667	0	0	0	0	0	0	0
Zotu10162	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0
Zotu10164	0	11.66666667	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1017	0	0	133.6666667	0	0	0	0	141.3333333	0	0	2.666666667	0	0	0	0
Zotu10172	0	0	0	0	0	0	0	0	0	0	0	0	0	9.666666667	0
Zotu10174	2.333333333	0	1	0	0	2.666666667	0	0	2	0	0	0	3.666666667	0	0
Zotu10178	4.666666667	0	0	0	0	0	0	1	0	0	0	0	1.666666667	0	0
Zotu10179	0	0	0	0	0	0	0	0	0	0	0	0	0	20.33333333	0
Zotu1019	0	40	4.333333333	26	3.333333333	67	7	37.66666667	5.666666667	19	13.33333333	57	46.66666667	30.33333333	0
Zotu10196	0	0	0	5.666666667	0	0	0	3.333333333	0	0	0	0	0	0	0
Zotu102	51.66666667	410	583	275.3333333	573.3333333	228.6666667	166	726.3333333	297	486.3333333	330.3333333	98.66666667	56	302.3333333	0
Zotu1020	0	0	77.66666667	41.66666667	7.666666667	102	0	53.66666667	1.666666667	15.66666667	7.333333333	16	2.666666667	37.66666667	0
Zotu10201	0	0	7.333333333	0	0	0	0	0	1.333333333	0	0	0	0	0	0
Zotu10203	0	0	0	2.333333333	0	4	0	2	0	0	0	0	0	1.333333333	1.666666667
Zotu10205	0	0	0	0	0	0	8.333333333	0	0	0	0	0	3	0	0
Zotu10206	0	0	2.333333333	6.333333333	0	0	0	2.666666667	0	0	0	0	0	0	0
Zotu10207	0	0	0	1	2.333333333	0	0	0	0	0	0	0	14	0	0
Zotu10210	0	0	0	0	0	0	0	0	0	0	5	5.666666667	0	0	0
Zotu10212	0	0	0	0	0	4	0	0	0	5.666666667	0	0	0	0	0
Zotu10215	0	0	0	0	1.333333333	0	0	0	1.666666667	0	0	0	0	5.333333333	0
Zotu10219	0	3	0	4.333333333	0	0	0	0	0	0	0	0	0	1.666666667	0
Zotu1022	0	13.33333333	0	145.3333333	0	100	0	0	0	0	18.33333333	0	13.66666667	49	0
Zotu10222	0	0	0	0	0	0	0	0	0	0	4.666666667	0	0	0	0
Zotu10223	0	0	0	4.333333333	0	0	0	3.333333333	0	3	0	0	0	0	0
Zotu10224	0	6	0	0	0	0	2	0	0	5.333333333	4.333333333	0	9	0	0
Zotu10226	8	0	0	0	0	0	0	0	0	0	0	0	5.333333333	0	0
Zotu10228	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0
Zotu1023	0	0	104	4	5.333333333	0	0	99.66666667	29.33333333	0	91	0	0	0	0
Zotu10232	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0
Zotu10234	0	0	0	0	0	0	1	0	0	0	0	8.666666667	0	0	0
Zotu10236	0	0	0	0	0	0	4	0	0	0	0	0	0	13.33333333	0
