phylum	CC10	CC11	CC13	CC14	CC15	CC16	CC17	CC18	CC19	CC3	CC5	CC6	CC7	CC8	CC9
Annelida	1619	0	0	0	306.3333333	0	0	0	0	33	0	0	2487.666667	155	0
Annelida	0	9.333333333	0	0	0	0	0	4	0	0	0	0	0	0	0
Annelida	0	0	0	0	0	0	4	0	3.666666667	208.3333333	0	20.66666667	0	2.333333333	0
Annelida	5.666666667	0	0	0	0	2.333333333	0	0	3	0	0	0	0	0	0
Annelida	1.333333333	0	0	0	0	0	0	0	1	0	0	0	1	0	0
Annelida	0	10.33333333	0	0	0	0	0	0	0	0	0	0	2	0	0
Annelida	3597	0	0	0	0	0	0	0	0	0	304.6666667	0	0	0	0
Annelida	21648.66667	0	0	0	4	0	0	0	723.6666667	1271.333333	0	0	0	0	0
Annelida	0	16	0	0	0	0	0	0	0	0	0	0	3246	0	0
Annelida	0	13024.33333	0	0	0	0	266.6666667	0	0	1436	0	0	0	3484.666667	0
Annelida	0	0	0	2	0	2	0	0	0	2516.333333	1	0	1	0	0
Annelida	0	0	0	0	0	0	0	0	0	0	0	0	1956.666667	0	0
Annelida	0	0	350	0	130.3333333	0	102.3333333	648	0	280.6666667	0	0	0	415.6666667	0
Annelida	0	0	757.3333333	0	0	0	0	0	560	212.3333333	0	0	0	0	0
Annelida	0	0	0	0	0	0	0	0	0	0	1348.333333	0	0	0	0
Annelida	0	0	0	0	0	0	0	0	0	1136.333333	12.66666667	0	0	0	0
Annelida	0	0	7.666666667	1	6	0	4	0	0	8	0	0	0	2.666666667	0
Annelida	0	8.666666667	0	0	0	3.666666667	0	7.333333333	0	0	0	0	1.333333333	0	0
Annelida	0	19	0	0	0	0	0	0	3.666666667	0	0	0	0	0	0
Annelida	9.666666667	0	0	419.6666667	0	0	0	0	0	270.3333333	3.666666667	0	0	0	0
Annelida	0	0	0	0	1.666666667	10.66666667	0	0	0	0	0	0	0	1.333333333	0
Annelida	7	0	0	0	0	0	0	0	0	0	0	0	568	0	0
Annelida	0	0	0	0	0	0	0	0	0	158.3333333	0	0	781.6666667	0	0
Annelida	0	6.666666667	0	0	0	0	0	0	0	1	0	0	2.666666667	0	0
Annelida	0	0	0	0	0	0	0	2.333333333	5.666666667	0	0	0	3.666666667	0	0
Apicomplexa	0	0	0	0	0	0	0	4	0	0	0	0	0	6.333333333	0
Apicomplexa	0	0	0	0	0	0	0	0	10.66666667	0	0	0	0	0	0
Apicomplexa	270	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Apicomplexa	0	0	0	0	0	0	0	0	0	0	0	0	0	9.666666667	0
Apicomplexa	0	0	0	0	0	0	0	0	0	0	5	5.666666667	0	0	0
Apicomplexa	0	0	0	0	0	0	1	0	0	0	0	8.666666667	0	0	0
Apicomplexa	0	0	0	0	0	0	0	0	0	7.333333333	7.666666667	0	0	0	0
Apicomplexa	0	0	0	0	3.666666667	0	0	0	2	0	0	0	0	3.666666667	0
Apicomplexa	0	0	0	0	6.333333333	0	0	0	10	0	0	0	0	0	0
Apicomplexa	0	0	0	0	0	0	6.666666667	0	0	0	0	0	0	0	0
Apicomplexa	0	0	2	0	0	1.333333333	0	0	6.333333333	0	0	1.333333333	0	1.666666667	0
Apicomplexa	0	0	0	0	0	0	0	0	0	0	0	0	8.666666667	0	0
Apicomplexa	0	0	0	0	6.333333333	0	0	0	276.3333333	0	0	11	35	6.666666667	0
Apicomplexa	0	0	0	0	0	9.666666667	0	0	0	0	0	0	0	0	0
Apicomplexa	0	0	0	0	0	0	0	269.3333333	2.333333333	0	0	0	0	0	0
Apicomplexa	0	0	0	0	0	0	7.666666667	0	0	0	0	0	0	0	0
Apicomplexa	3.333333333	0	4.333333333	0	6	30.66666667	5.333333333	0	0	0	0	0	0	0	373.6666667
Apicomplexa	0	0	0	0	0	0	0	0	3.666666667	2.333333333	0	0	0	0	0
Apicomplexa	0	0	0	0	0	0	0	0	0	0	0	0	5.666666667	0	0
Apicomplexa	7.333333333	0	0	0	0	0	0	0	0	0	0	2.333333333	0	0	0
Apicomplexa	2.333333333	0	0	0	0	16.33333333	1.333333333	4.333333333	0	0	0	0	1.666666667	0	0
Apicomplexa	0	0	0	0	0	0	0	0	0	0	0	0	9.666666667	0	0
Apicomplexa	0	0	0	0	0	0	0	0	7.666666667	0	0	2.333333333	0	0	0
Apicomplexa	0	0	0	19	8	0	0	0	0	0	0	0	0	0	0
Apicomplexa	0	0	0	0	0	0	0	0	0	0	0	0	4.666666667	0	0
Apicomplexa	0	0	0	7	0	0	0	0	0	0	1	0	0	0	0
Apicomplexa	0	4	0	0	0	0	0	0	0	0	0	0	1.666666667	0	0
Apicomplexa	0	0	0	0	0	0	0	0	0	3.666666667	0	0	0	2.666666667	0
Apicomplexa	6	0	0	0	0	0	0	0	0	0	1.333333333	0	0	0	0
Apicomplexa	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0
Apicomplexa	3	0	0	0	0	0	0	0	0	10.33333333	0	0	3.666666667	0	0
Apicomplexa	0	0	0	0	2.333333333	0	0	0	8.666666667	0	0	0	0	0	0
Apicomplexa	0	0	0	0	0	2.666666667	5	0	0	0	0	0	0	0	0
Apicomplexa	0	0	0	0	0	11.33333333	0	0	0	0	0	0	0	0	0
Apicomplexa	0	0	0	0	0	6.333333333	0	0	0	0	0	2.666666667	0	0	0
Apicomplexa	0	0	0	0	0	0	0	0	2	4.666666667	0	0	0	0	0
Apicomplexa	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Apicomplexa	0	0	0	8.666666667	0	0	0	0	0	0	0	0	0	0	0
Apicomplexa	0	0	0	0	0	0	0	0	3.333333333	3	2.333333333	0	3.666666667	0	0
Apicomplexa	0	0	0	1	0	0	0	1.333333333	0	0	0	0	7.333333333	0	0
Apicomplexa	2	0	0	0	0	0	0	0	0	1	0	5.333333333	0	0	0
Apicomplexa	0	258.6666667	0	0	0	0	0	0	0	0	0	0	0	0	0
Apicomplexa	0	6.666666667	0	1	0	0	0	1.333333333	0	0	0	0	0	0	0
Apicomplexa	0	0	2.333333333	0	0	0	0	0	0	9	0	0	0	0	0
Apicomplexa	0	0	0	0	0	0	0	0	0	0	0	0	4.333333333	1.333333333	0
Apicomplexa	0	0	0	0	0	0	0	0	2.333333333	0	6.333333333	0	0	0	0
