phylum	palermo_pristine_arenella	palermo_pristine_arenella	palermo_pristine_arenella		palermo_pristine_eleuterio	palermo_pristine_eleuterio	palermo_pristine_eleuterio		castellammare_trawled	castellammare_trawled	castellammare_trawled		castellammare_untrawled	castellammare_untrawled	castellammare_untrawled		palermo_trawled	palermo_trawled	palermo_trawled	
Annelida	1619	0	33		0	0	2487.666667		0	306.3333333	0		0	0	0		0	0	155	
Annelida	0	0	0		9.333333333	0	0		0	0	4		0	0	0		0	0	0	
Annelida	0	3.666666667	208.3333333		0	0	0		0	0	0		0	4	0		0	20.66666667	2.333333333	
Annelida	5.666666667	3	0		0	0	0		0	0	0		2.333333333	0	0		0	0	0	
Annelida	1.333333333	1	0		0	0	1		0	0	0		0	0	0		0	0	0	
Annelida	0	0	0		10.33333333	0	2		0	0	0		0	0	0		0	0	0	
Annelida	3597	0	0		0	0	0		0	0	0		0	0	0		304.6666667	0	0	
Annelida	21648.66667	723.6666667	1271.333333		0	0	0		0	4	0		0	0	0		0	0	0	
Annelida	0	0	0		16	0	3246		0	0	0		0	0	0		0	0	0	
Annelida	0	0	1436		13024.33333	0	0		0	0	0		0	266.6666667	0		0	0	3484.666667	
Annelida	0	0	2516.333333		0	2	1		0	0	0		2	0	0		1	0	0	
Annelida	0	0	0		0	0	1956.666667		0	0	0		0	0	0		0	0	0	
Annelida	0	0	280.6666667		0	0	0		350	130.3333333	648		0	102.3333333	0		0	0	415.6666667	
Annelida	0	560	212.3333333		0	0	0		757.3333333	0	0		0	0	0		0	0	0	
Annelida	0	0	0		0	0	0		0	0	0		0	0	0		1348.333333	0	0	
Annelida	0	0	1136.333333		0	0	0		0	0	0		0	0	0		12.66666667	0	0	
Annelida	0	0	8		0	1	0		7.666666667	6	0		0	4	0		0	0	2.666666667	
Annelida	0	0	0		8.666666667	0	1.333333333		0	0	7.333333333		3.666666667	0	0		0	0	0	
Annelida	0	3.666666667	0		19	0	0		0	0	0		0	0	0		0	0	0	
Annelida	9.666666667	0	270.3333333		0	419.6666667	0		0	0	0		0	0	0		3.666666667	0	0	
Annelida	0	0	0		0	0	0		0	1.666666667	0		10.66666667	0	0		0	0	1.333333333	
Annelida	7	0	0		0	0	568		0	0	0		0	0	0		0	0	0	
Annelida	0	0	158.3333333		0	0	781.6666667		0	0	0		0	0	0		0	0	0	
Annelida	0	0	1		6.666666667	0	2.666666667		0	0	0		0	0	0		0	0	0	
Annelida	0	5.666666667	0		0	0	3.666666667		0	0	2.333333333		0	0	0		0	0	0	
	7	7	12	26	7	3	11	21	3	5	4	12	4	4	0	8	5	1	6	12
																				
Arthropoda	0	0	0		0	0	0		0	0	0		0	0	0		0	0	308	
Arthropoda	0	298	0		0	0	0		0	0	0		0	0	0		0	0	0	
Arthropoda	18	48.33333333	0		0	0	0		0	0	0		0	0	0		0	109.6666667	137.3333333	
Arthropoda	0	0	0		0	0	0		0	0	0		0	0	0		0	0	10.66666667	
Arthropoda	0	0	0		0	0	0		0	3.333333333	1.333333333		0	0	0		0	0	0	
Arthropoda	0	0	0		0	0	0		7	0	0		0	0	0		0	0	0	
Arthropoda	0	0	0		0	0	0		0	5.333333333	0		0	0	0		0	0	8.666666667	
Arthropoda	0	0	0		0	0	0		0	0	0		0	0	0		0	0	25.33333333	
Arthropoda	0	0	34		0	0	0		0	0	0		0	0	0		0	0	302.3333333	
Arthropoda	0	0	0		0	0	170		0	0	0		0	0	0		0	0	0	
Arthropoda	0	0	0		0	159	2.333333333		0	0	0		0	0	0		0	0	0	
Arthropoda	0	0	0		0	0	0		0	0	141.3333333		0	0	0		0	0	0	
Arthropoda	0	0	0		0	0	0		0	0	0		154.6666667	0	0		0	0	0	
Arthropoda	0	0	142.6666667		0	0	0		0	0	0		0	0	0		0	0	0	
Arthropoda	0	0	199.3333333		0	0	0		0	0	0		0	2.333333333	0		0	0	0	
Arthropoda	0	0	0		0	0	0		0	0	0		0	0	0		0	0	145.6666667	
Arthropoda	0	0	0		25.66666667	0	0		0	0	0		12	0	0		1.666666667	0	88.66666667	
Arthropoda	0	0	0		51.66666667	0	0		0	0	85		0	0	0		0	0	0	
Arthropoda	0	0	113		0	0	0		0	0	21.33333333		0	0	0		0	0	0	
Arthropoda	0	0	0		8	108	0		0	0	0		0	0	0		0	0	0	
Arthropoda	0	0	0		0	105	0		0	0	0		0	0	0		8.333333333	0	0	
Arthropoda	0	0	0		0	355.6666667	0		0	0	0		0	0	0		0	0	0	
Arthropoda	0	0	0		9.666666667	2677.333333	0		0	0	0		0	0	0		0	0	4.666666667	
Arthropoda	0	0	114.3333333		0	0	0		0	0	0		0	0	0		0	0	0	
Arthropoda	0	0	0		0	0	0		0	127.3333333	0		0	0	0		0	0	0	
Arthropoda	0	0	0		0	0	0		0	2.333333333	0		114.3333333	0	0		0	0	7	
Arthropoda	0	5	0		0	99.66666667	0		0	7.666666667	0		0	0	0		0	0	2	
Arthropoda	0	0	0		6	0	0		0	0	0		0	0	0		75.33333333	0	0	
Arthropoda	0	0	0		0	33.66666667	0		0	0	0		0	0	0		0	0	54	
Arthropoda	0	0	0		0	0	0		0	0	0		5675.333333	0	0		0	0	0	
Arthropoda	0	0	2.333333333		0	0	0		0	16340	0		0	0	0		1.333333333	0	0	
Arthropoda	0	0	0		0	0	52		0	0	0		0	0	0		0	0	0	
Arthropoda	0	0	9		0	0	0		0	0	0		56.33333333	0	0		0	0	0	
Arthropoda	0	0	0		0	28.66666667	0		0	0	0		0	0	0		5.333333333	0	9.333333333	
Arthropoda	0	1475	0		0	0	0		0	0	0		0	0	0		0	0	0	
Arthropoda	0	0	10531.33333		0	0	0		0	1810.666667	0		0	0	0		0	0	0	
Arthropoda	0	0	43		0	5.333333333	0		0	0	0		0	0	0		0	0	0	
Arthropoda	0	0	0		44.66666667	0	0		0	0	0		0	0	0		0	0	0	
Arthropoda	0	0	1347.666667		0	0	0		0	0	0		0	0	0		0	0	0	
Arthropoda	0	0	0		0	0	21.33333333		0	1849.333333	0		0	0	0		0	0	0	
Arthropoda	0	27.66666667	7.666666667		0	0	0		0	0	0		0	0	0		0	0	0	
Arthropoda	0	1	64.66666667		0	1130.666667	0		0	0	0		0	0	0		0	0	0	
Arthropoda	0	0	7.666666667		0	0	0		0	1281.333333	0		0	0	0		0	0	3.333333333	
Arthropoda	0	0	23.33333333		0	0	0		0	0	0		0	0	0		0	0	0	
Arthropoda	0	0	0		0	0	0		0	0	10.66666667		12	0	0		0	0	0	
Arthropoda	0	0	0		0	0	0		0	0	0		0	0	0		0	0	28.66666667	
Arthropoda	0	3.666666667	2		0	0	0		1.333333333	3.666666667	14.33333333		3.666666667	0	0		1.333333333	1.333333333	8.333333333	
Arthropoda	0	0	0		24.66666667	0	0		0	0	0		0	0	0		0	0	0	
Arthropoda	0	0	0		0	0	0		0	0	0		0	0	0		26.33333333	0	0	
Arthropoda	0	0	0		0	0	0		0	7	0		0	0	0		0	0	15.66666667	
Arthropoda	0	0	0		0	719.6666667	0		0	0	0		0	0	0		0	0	0	
Arthropoda	0	0	0		0	0	0		0	0	0		0	0	0		647.6666667	0	0	
Arthropoda	0	0	0		0	8.333333333	0		0	2	0		0	0	0		0	0	35.33333333	
Arthropoda	0	0	0		18	0	0		0	0	0		0	0	0		0	0	0	
Arthropoda	0	0	0		4	0	0		4.333333333	2.333333333	0		0	0	0		0	0	10.33333333	
Arthropoda	0	0	0		0	0	0		22.66666667	533	0		0	0	0		0	0	0	
Arthropoda	0	0	0		0	2	0		0	0	0		0	0	0		0	0	55.66666667	
Arthropoda	0	0	0		0	0	0		5.666666667	0	0		2.666666667	0	0		8	0	0	
Arthropoda	0	0	856.6666667		0	0	0		0	0	0		0	0	0		0	0	0	
Arthropoda	0	3.333333333	0		0	0	4.666666667		0	0	0		0	0	0		0	7	6.333333333	
Arthropoda	0	0	0		0	0	0		0	0	0		0	0	0		515	0	0	
Arthropoda	0	0	0		0	0	0		9.666666667	4.666666667	0		0	0	0		0	0	0	
Arthropoda	0	0	0		0	0	0		0	0	0		0	0	0		16	0	0	
Arthropoda	0	0	0		0	19.66666667	2.333333333		0	0	0		0	0	0		0	0	0	
Arthropoda	0	0	644.6666667		0	0	0		0	0	0		0	0	0		0	0	0	
Arthropoda	0	0	176.6666667		0	363	0		0	1.333333333	0		0	0	0		0	0	0	
Arthropoda	0	0	0		0	0	0		0	0	0		0	0	0		11	0	3	
Arthropoda	0	0	0		0	23938.66667	11		0	0	0		0	0	0		380	0	11380.33333	
Arthropoda	0	0	0		0	0	13.33333333		0	0	0		0	0	0		4	0	0	
Arthropoda	291.3333333	0	0		0	0	0		0	0	79.33333333		0	0	0		0	0	0	
Arthropoda	0	0	0		0	0	0		0	0	11		0	0	0		0	0	0	
Arthropoda	0	0	345.3333333		0	0	2.666666667		0	0	0		0	0	0		0	0	0	
Arthropoda	0	0	0		0	0	0		0	0	10.66666667		0	0	0		0	0	0	
Arthropoda	0	271.3333333	0		0	0	0		0	0	54.66666667		0	0	0		0	0	0	
Arthropoda	0	0	0		0	4.333333333	6.666666667		0	0	0		0	0	0		1.333333333	0	3.333333333	
	2	9	19	30	9	17	10	36	6	16	10	32	8	1	0	9	15	3	24	42
																				
Bryozoa	0	0	21		0	977.3333333	0		0	0	0		64.33333333	0	0		0	0	0	
	0	0	1	1	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0
																				
Chordata	0	0	0		0	0	3.333333333		5	0	0		0	0	0		0	0	0	
Chordata	0	2	1.333333333		0	0	0		0	0	1.666666667		1.666666667	0	0		0	4.333333333	3	
Chordata	0	0	0		0	0	4.333333333		0	0	0		0	0	0		3.333333333	0	2.333333333	
Chordata	0	0	0		0	2.333333333	2.666666667		0	0	0		2.666666667	0	0		0	0	0	
Chordata	1.333333333	0	0		7	0	0		0	0	0		0	0	0		0	0	0	
Chordata	38.33333333	0	0		0	0	0		0	0	0		0	0	0		0	0	0	
Chordata	5.666666667	7.333333333	2.333333333		11.33333333	1	7.666666667		14.33333333	5	14		3.333333333	0	0		3.333333333	3.333333333	11	
Chordata	0	0	0		9.666666667	0	0		0	0	8		1.666666667	0	0		0	96.33333333	4.333333333	
Chordata	5.333333333	1.333333333	1.333333333		0	1	3.666666667		8.666666667	0	8.333333333		0	0	0		4	0	0	
Chordata	4.333333333	0	0		0	12	4		5	4.666666667	7.666666667		2.333333333	0	0		1.333333333	0	2.333333333	
Chordata	3.333333333	8	0		6	0	0		0	4	3.666666667		2.333333333	0	0		0	9	6	
Chordata	5	0	0		26.66666667	3	0		0	1.666666667	0		0	0	0		0	3.333333333	0	
Chordata	0	0	14.33333333		0	0	0		0	0	0		0	0	0		0	0	9	
Chordata	0	0	0		0	0	5		0	0	0		0	0	0		0	15.66666667	0	
Chordata	0	1	4.666666667		1.666666667	0	0		0	2	5.666666667		0	5	0		0	0	1.666666667	
Chordata	36	13.66666667	63		40.66666667	37	19.33333333		36.66666667	31.66666667	102		26.66666667	2.666666667	97		52.33333333	5.333333333	17.33333333	
Chordata	12	0	0		0	0	1.666666667		0	0	0		0	0	0		0	0	0	
Chordata	0	9	0		3.333333333	0	1		0	1	0		0	0	0		0	3.666666667	0	
Chordata	0	0	0		0	0	0		1	0	14		0	0	0		0	0	0	
Chordata	0	0	0		0	0	0		0	0	4.666666667		1	0	0		0	0	0	
Chordata	0	0	84.33333333		0	0	0		0	0	0		0	0	101.6666667		0	0	0	
