site	survey_site	canyon	human_impact	core_depth	PRT	CHO	LIP	BPC	Phytopigment_Chl.a	Phytopigment_C	Phytopigment_BPC	I8S_Shannon	I8S_Evenness	I8S_otu_number	COI_Shannon	COI_Evenness	COI_otu_number
L.CC13	castellammare_impacted	castellammare	impacted	568	1.329983804	0.480264386	0.463834429	2.274082619	2.049831797	0.081993272	3.467710586	5.000556154	0.128064373	1950	7.251440318	0.118508465	4524
L.CC15	castellammare_impacted	castellammare	impacted	568	1.516180376	0.410059457	0.567905606	2.494145439	2.190854307	0.087634172	3.45527715	5.104696966	0.126685721	2141	7.392909522	0.115639195	5504
L.CC16	castellammare_pristine	castellammare	pristine	542	1.522881364	0.890071423	0.706652469	3.119605256	4.303158156	0.172126326	5.587525535	5.637985153	0.127581361	2306	7.171590956	0.117683252	4780
L.CC17	castellammare_pristine	castellammare	pristine	542	1.704139794	0.72480535	0.628770685	3.057715829	3.14628295	0.125851318	4.245398344	1.280288494	0.040969527	1312	6.924455302	0.125439739	2822
L.CC18	castellammare_impacted	castellammare	impacted	568	1.181506327	0.41056434	0.524274605	2.116345272	2.5738102	0.102952408	4.704959985	5.623617513	0.126353596	2458	7.434750449	0.115650793	5526
L.CC9	castellammare_pristine	castellammare	pristine	542	1.47411379	0.884869238	0.657124726	3.016107754	3.417152962	0.136686118	4.521583683	3.170833064	0.148123311	359	3.64018232	0.142224041	416
L.CC10	palermo_pristine_arenella	palermo	pristine	543	0.974272785	1.122787273	0.694911845	2.791971903	4.904347852	0.196173914	7.124266295	5.004400736	0.129810155	1751	5.754737733	0.12346555	2783
L.CC11	palermo_pristine_eleuterio	palermo	pristine	518	1.979676734	0.636005201	0.472337869	3.088019804	3.927420679	0.157096827	5.106114139	5.331818455	0.129474867	1966	6.236390651	0.115206122	4544
L.CC14	palermo_pristine_eleuterio	palermo	pristine	518	2.184090135	0.759987038	0.615633514	3.559710687	4.575862417	0.183034497	5.138563095	5.259632447	0.125583445	2356	7.439480156	0.114650181	6031
L.CC19	palermo_pristine_arenella	palermo	pristine	544	1.161838394	1.157304385	0.648055036	2.967197816	5.825752542	0.233030102	7.982416418	4.013309648	0.10982531	2388	7.126002077	0.114160993	6001
L.CC3	palermo_pristine_arenella	palermo	pristine	544	1.007076268	1.209542735	0.574629484	2.791248486	5.854383736	0.234175349	8.453513604	5.856908024	0.12486797	2800	7.572944814	0.114230257	6236
L.CC5	palermo_impacted	palermo	impacted	574	2.183528453	0.590912971	0.415441284	3.189882708	3.787620924	0.151504837	4.748344544	5.387954937	0.126529715	2418	7.163445949	0.112847346	6809
L.CC6	palermo_impacted	palermo	impacted	560	2.493311452	0.638750491	0.516248149	3.648310092	2.892355913	0.115694237	3.136052007	5.253015581	0.130626985	1748	6.626230547	0.121753599	3526
L.CC7	palermo_pristine_eleuterio	palermo	pristine	516	2.509995248	0.612284912	0.567024205	3.689304365	3.683928881	0.147357155	4.002278815	4.783580985	0.123004974	2366	6.739948167	0.115991225	5201
L.CC8	palermo_impacted	palermo	impacted	556	2.607455638	0.719613283	0.478622816	3.805691737	3.886917405	0.155476696	4.089215286	5.547337446	0.126043722	2529	7.281474384	0.112980616	6722
